model_tag,method,tier,metric,mean,ci_low,ci_high,n
qwen25_3b,locked,tier2_llmbar,PSR,0.9583333333333334,0.8958333333333334,1.0,48
qwen25_7b,conflict_audit,all,OSR,0.834,0.82575,0.84225,8000
qwen25_7b,conflict_audit,all,POR_C,0.5424099017109574,0.5293046960320349,0.5553330906443393,5494
qwen25_7b,conflict_audit,all,POR_NC,0.9991511035653651,0.9974533106960951,1.0,1178
qwen25_7b,conflict_audit,all,HHR,0.9948041566746603,0.9920063948840927,0.9976019184652278,2502
qwen25_7b,conflict_audit,all,RSR,0.005195843325339729,0.002398081534772182,0.007993605115907274,2502
qwen25_7b,conflict_audit,all,PSR,0.997459510955859,0.9955541441727532,0.9990473166084471,3149
qwen25_7b,conflict_audit,tier1,OSR,0.84875,0.8404166666666667,0.8569444444444444,7200
qwen25_7b,conflict_audit,tier1,POR_C,0.5469288465436853,0.5327386985607135,0.5605108453273869,4933
qwen25_7b,conflict_audit,tier1,POR_NC,0.9991511035653651,0.9974533106960951,1.0,1178
qwen25_7b,conflict_audit,tier1,HHR,0.9942170818505338,0.9911032028469751,0.9973309608540926,2248
qwen25_7b,conflict_audit,tier1,RSR,0.005782918149466192,0.0026690391459074734,0.008896797153024912,2248
qwen25_7b,conflict_audit,tier1,PSR,0.9972385226095961,0.9951674145667933,0.9989644459785986,2897
qwen25_7b,conflict_audit,tier2_llmbar,OSR,0.70125,0.67,0.7325,800
qwen25_7b,conflict_audit,tier2_llmbar,POR_C,0.5026737967914439,0.46167557932263814,0.5436720142602496,561
qwen25_7b,conflict_audit,tier2_llmbar,POR_NC,,,,0
qwen25_7b,conflict_audit,tier2_llmbar,HHR,1.0,1.0,1.0,254
qwen25_7b,conflict_audit,tier2_llmbar,RSR,0.0,0.0,0.0,254
qwen25_7b,conflict_audit,tier2_llmbar,PSR,1.0,1.0,1.0,252
qwen25_7b,context_forward,all,OSR,0.683,0.6685,0.6975,4000
qwen25_7b,context_forward,all,POR_C,0.6499768196569309,0.6305053314789059,0.6703755215577191,2157
qwen25_7b,context_forward,all,POR_NC,0.9982608695652174,0.9947826086956522,1.0,575
qwen25_7b,context_forward,all,HHR,0.9269521410579346,0.9080604534005038,0.9445843828715366,794
qwen25_7b,context_forward,all,RSR,0.07304785894206549,0.055415617128463476,0.09193954659949623,794
qwen25_7b,context_forward,all,PSR,,,,0
qwen25_7b,context_forward,tier1,OSR,0.6902777777777778,0.6752777777777778,0.7055555555555556,3600
qwen25_7b,context_forward,tier1,POR_C,0.668586387434555,0.6471204188481675,0.6900523560209424,1910
qwen25_7b,context_forward,tier1,POR_NC,0.9982608695652174,0.9947826086956522,1.0,575
qwen25_7b,context_forward,tier1,HHR,0.9159420289855073,0.8942028985507247,0.936231884057971,690
qwen25_7b,context_forward,tier1,RSR,0.08405797101449275,0.06376811594202898,0.10579710144927536,690
qwen25_7b,context_forward,tier1,PSR,,,,0
qwen25_7b,context_forward,tier2_llmbar,OSR,0.6175,0.57,0.665,400
qwen25_7b,context_forward,tier2_llmbar,POR_C,0.5060728744939271,0.44534412955465585,0.5668016194331984,247
qwen25_7b,context_forward,tier2_llmbar,POR_NC,,,,0
qwen25_7b,context_forward,tier2_llmbar,HHR,1.0,1.0,1.0,104
qwen25_7b,context_forward,tier2_llmbar,RSR,0.0,0.0,0.0,104
qwen25_7b,context_forward,tier2_llmbar,PSR,,,,0
qwen25_7b,decomposed,all,OSR,0.67975,0.665,0.69425,4000
